Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D124,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-78.839231,45,top
D125,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-78.839231,45,top
D126,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-78.839231,45,top
D127,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-78.839231,45,top
D128,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-78.839231,45,top
D129,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-78.839231,45,top
D130,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-78.839231,45,top
D131,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-78.839231,45,top
D132,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-78.839231,45,top
D133,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-78.839231,45,top
D134,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,136.654819,-81.339231,45,top
D135,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,139.154819,-81.339231,45,top
D136,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,141.654819,-81.339231,45,top
D137,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,144.154819,-81.339231,45,top
D138,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,146.654819,-81.339231,45,top
D139,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,149.154819,-81.339231,45,top
D140,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,151.654819,-81.339231,45,top
D141,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,154.154819,-81.339231,45,top
D142,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,156.654819,-81.339231,45,top
D143,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,159.154819,-81.339231,45,top
D144,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,161.654819,-81.339231,45,top
D145,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder_Notext,164.154819,-81.339231,45,top
R1,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,174.25,-56.5,-90,top
R2,1000,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,152.2,-84.75,0,top
R3,1000,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,152.25,-89.75,0,top
R4,1000,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,144.5975,-87.25,0,top
R5,1000,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,159.6525,-87.25,0,top
R6,1000,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,176.5775,-88.5,0,top
R7,1000,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,182.5775,-91,0,top
R8,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-54.24405,180,top
R9,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-56.74405,180,top
R10,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-59.24405,180,top
R11,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-61.74405,180,top
R12,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-64.24405,180,top
R13,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-66.74405,180,top
R14,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-69.24405,180,top
R15,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-71.74405,180,top
R16,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-74.37405,180,top
R17,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-76.74405,180,top
R18,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-79.24405,180,top
R19,220,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder_Notext,167.5,-81.74405,180,top
U1,STM32F103C8T6,QFP50P900X900X160-48N,176.68,-64.75,0,top
